0e7c0320b635	MSG	Reservoir Gods	Godlenes: Bubble Bobble	
0e7fe1e33ba5	Rubbish			
0e802fb1582d	Frederic Motte	Loriciel	Tiny Skweeks	
0e888fc021fb	Charon	NATO	Nato Sound demo 3	
0e9bfb99942e	Red Ribbon			
0e9d57972c58	Hagar	Addware	Airmania	
0eb0c41a4d17	Tim Wright	Psygnosis	Shadow of the Beast 3	
0eb86f204676	Tyan			
0ebee486789c	P.G.			
0ebfb451a44d	Clawz			
0ec960f24162	DMA-SC			
0eca90e4562a	Illusion			
0ecb0f9d064a	Juri			
0ecd984a3e70	Vivid			
0ecfb7b8a86b				1994
0ed5112651cd		Vectronix	Golden Island Cracktro	
0eddabac270b	Erik Ecqier	Les Logiciels d'en Face	Tout à Disparu	
0ef0dc18f55a	Teque			
0ef591cee024	Bruce			
0efa394857b1	Rhino	Torment	Music Disk #01	
0efb57f1386b	Betrayer			
0f0749a43490	Djamm			
0f0e779db73e	Tommy			
0f129f43e7af	Xtream → A.D.S.			
0f18a1d9ec1e	Tim Wright	Psygnosis	Agony	
0f1b9e60713c	Mr. Coke			
0f21872d2684	505	Checkpoint~Escape	Modulation 3	
0f259f9e647d				1998
0f26e82c38c3	Oedipus			
0f29c575344b	Titan			
0f2a05d06157	Kenet			
0f31ce29d4b0	Bruce			
0f35557c4f44	505	Checkpoint~Escape	Modulation 1	
0f366060f1e6	Oedipus			
0f396c968d25	Akira			
0f462884ff36	Carter	No Crew	Stocasto	
0f47eba9f19e	Jean Baudlot	Ocean	Beach Volley	
0f497c497b46		Pick´N´Pay	Pingo´98	
0f5410a343cf	Betrayer			
0f54c624d111	Dave (.pl)			
0f5fbec1c246	Zonk (.de)			
0f61ea12bf92		Empire	International Sports Challenge	
